domain,chord_IP,chord_time,reg_IP,reg_time,eq,code,url
espn.com.au,18.245.31.65_18.245.31.63_,1064,18.66.41.57,33.534298,0,403,https://espn.com.au
textslashplain.com,192.0.78.25,3369,192.0.78.25,8.019325,1,200,https://textslashplain.com
code.jquery.com,151.101.2.137_151.101.66.137_,1190,151.101.194.137,3.439798,0,200,https://code.jquery.com
usccb.org,23.185.0.2,3975,23.185.0.2,347.969197,1,200,https://usccb.org
afrinik.com,104.21.72.170_172.67.187.35_,1088,104.21.72.170,76.920734,1,200,https://afrinik.com
erzat.blog,192.0.78.249,3988,192.0.78.249,32.186778,1,200,https://erzat.blog
mydomain.com,65.254.242.180,1207,65.254.242.180,2.635317,1,200,https://mydomain.com
aerobis.com,104.26.15.47,2718,172.67.72.229,102.949423,0,200,https://aerobis.com
linuxuser.co.uk,185.113.25.34,1159,185.113.25.34,24.272793,1,200,https://linuxuser.co.uk
historycommons.org,162.243.41.32,1226,162.243.41.32,127.086396,1,error,
dynamicdrive.com,199.167.201.199,1096,199.167.201.199,352.208024,1,200,https://dynamicdrive.com
hidabroot.org,66.22.84.27,1104,66.22.84.27,139.490162,1,403,https://hidabroot.org
hdsr.mitpress.mit.edu,54.91.6.89_34.201.80.84_54.196.16.164_,2694,34.201.80.84,380.919695,1,200,https://hdsr.mitpress.mit.edu
powerfortunes.com,172.67.210.171_104.21.66.253_,1609,104.21.66.253,9.012932,1,200,https://powerfortunes.com
publicaffairsbooks.com,192.0.66.2,3341,192.0.66.2,123.632116,1,200,https://publicaffairsbooks.com
thenewstribune.com,166.108.36.245,1088,166.108.36.245,540.013052,1,error,
